Scenario,Target Group,Accuracy,Precision,Recall,F1 Score
black,black,0.6741344195519349,0.9110320284697508,0.6547314578005116,0.7619047619047621
black,women,0.74,0.9468599033816425,0.7101449275362319,0.8115942028985508
black,lgbt,0.8479166666666667,0.9576719576719577,0.863961813842482,0.9084065244667503
women,black,0.6293279022403259,0.968609865470852,0.5524296675191815,0.7035830618892509
women,women,0.7514285714285714,0.9655172413793104,0.7101449275362319,0.8183716075156576
women,lgbt,0.7,0.9661016949152542,0.6801909307875895,0.7983193277310925
lgbt,black,0.7006109979633401,0.8765432098765432,0.7263427109974424,0.7944055944055944
lgbt,women,0.7771428571428571,0.875,0.8369565217391305,0.8555555555555556
lgbt,lgbt,0.8791666666666667,0.9287410926365796,0.9331742243436754,0.930952380952381
balanced,black,0.6883910386965377,0.9440298507462687,0.6470588235294118,0.7678300455235205
balanced,women,0.8371428571428572,0.9469387755102041,0.8405797101449275,0.890595009596929
balanced,lgbt,0.8583333333333333,0.9534883720930233,0.8806682577565632,0.9156327543424317
